category_list,funding_total_usd,country_code,funding_rounds,Num_of_investor,funding_duration,first_funding_at_UTC,last_funding_at_UTC,label
Analytics|Brand Marketing|Celebrity|Curated Web|Mobile|QR Codes|Social Media|Sports,75000.0,USA,1,2,0,15804,15804,0
Mobile,40057776.0,USA,8,5,1899,14417,16316,0
Electrical Distribution|Semiconductors|Solar,2581800.0,ITA,1,1,0,15669,15669,0
Enterprise Software,6500000.0,IND,1,1,0,12760,12760,0
Finance|Hardware + Software|Meeting Software|Security,1298773.0,SGP,2,4,84,14728,14812,1
Social Media|Social Network Media,25000.0,USA,1,1,0,14033,14033,0
Consulting|Employment|Search,4000000.0,USA,1,2,0,13571,13571,0
Gift Card,25000000.0,IND,2,2,2517,13798,16315,0
Internet|Legal|Privacy|Software,100000.0,ITA,1,5,0,15138,15138,0
Social Media,2841648.0,KOR,2,3,516,14610,15126,0
Information Technology,21000000.0,USA,1,1,0,11332,11332,1
Biotechnology,1187674.0,USA,2,2,714,15512,16226,0
Software,4444200.0,USA,1,1,0,15099,15099,0
Analytics,18600000.0,USA,2,1,648,15215,15863,1
Health and Wellness,88264989.0,USA,5,19,1211,15125,16336,0
Biotechnology,1300000.0,USA,1,2,0,16703,16703,0
Mobile,860000.0,RUS,3,4,161,15684,15845,0
Medical Devices,42000000.0,USA,1,5,0,16679,16679,0
Security|Service Providers,21000000.0,USA,1,1,0,13886,13886,0
Education|Internet,7302839.0,DEU,5,11,2113,14610,16723,0
Games|Video,43500000.0,RUS,2,6,1110,15593,16703,0
Advertising|Email,9700000.0,FRA,3,3,1180,14315,15495,1
Cloud Infrastructure|Cloud Security|SaaS|Software|Video|Video Streaming,4000000.0,USA,1,1,0,16594,16594,0
Health and Wellness,7189674.0,USA,3,3,1047,15281,16328,0
Hardware|Manufacturing|Networking|Storage,49000000.0,USA,7,25,2075,11534,13609,1
Computers|Network Security|Security|Testing,7400000.0,USA,4,4,1887,13057,14944,1
Artists Globally|Entrepreneur|Professional Networking|Social Media|Technology,5000000.0,USA,3,6,1581,14975,16556,0
Android|Apps|Email|Information Technology|iPhone|Messaging|Mobile|Sales and Marketing|SMS|Wireless,4758319.0,USA,5,1,1392,14981,16373,0
Service Providers|Storage,270862.0,ESP,1,1,0,16233,16233,0
Manufacturing,41200000.0,USA,5,13,4173,11592,15765,1
Data Centers|Networking|Web Hosting,33521971.0,CAN,6,8,793,13325,14118,1
Advertising,50000.0,EGY,1,1,0,14245,14245,0
Software,13060000.0,FRA,3,8,631,12940,13571,0
Advertising|Networking|Sales and Marketing|SNS|Social Media|Web Tools,4100000.0,USA,1,2,0,14279,14279,1
Software,11200000.0,USA,2,5,3025,11477,14502,1
Real Estate,270000000.0,CHN,2,4,190,16562,16752,0
Finance|FinTech,31452688.0,GBR,3,9,938,15708,16646,0
Telecommunications,2600000.0,RUS,1,1,0,15490,15490,0
Hardware + Software,15000000.0,USA,2,6,884,11974,12858,1
Web Hosting,100000000.0,USA,1,4,0,16498,16498,1
Finance|FinTech,157000.0,GBR,1,1,0,13543,13543,0
Computers|Hardware + Software|Information Technology|Tech Field Support,85600000.0,IND,5,15,2684,13514,16198,0
E-Commerce,9000000.0,TUR,3,12,685,15896,16581,0
Hardware + Software,5000000.0,USA,1,1,0,14215,14215,0
Advertising|Advertising Platforms|Brand Marketing|Marketing Automation,34900000.0,USA,4,8,3242,13422,16664,1
Big Data Analytics|Cloud Data Services|Data Visualization|Software,3000000.0,USA,1,2,0,16290,16290,0
Health Care,1313111.0,FRA,1,1,0,15370,15370,1
Mobile Payments|Software,244044164.442339,SWE,9,36,1456,15265,16721,0
E-Commerce|Internet|Marketplaces,250000.0,IND,2,1,252,16419,16671,0
Games,12000000.0,USA,1,1,0,15955,15955,0
E-Commerce,1330000.0,CHN,2,4,365,14944,15309,0
Biotechnology,20000000.0,USA,1,2,0,14348,14348,1
Software,1350000.0,JPN,1,1,0,16402,16402,0
Consumer Goods,6350000.0,USA,1,2,0,12802,12802,0
Content|Content Creators|Content Delivery|Education|Facebook Applications|Software,1345291.0,BRA,1,1,0,15979,15979,0
Biotechnology,27400000.0,USA,2,1,260,15966,16226,0
E-Commerce|Fashion|Retail,26037513.0,USA,5,5,1531,14092,15623,0
Software,9029507.0,USA,6,12,1118,15400,16518,0
Mobile,76630500.0,USA,5,1,1030,13892,14922,0
Beauty|Fashion|Jewelry|Online Shopping|Shoes|Toys,27500000.0,IND,1,1,0,16106,16106,1
Software,13700000.0,USA,2,8,642,12949,13591,0
Hospitality,575000.0,USA,3,4,818,14713,15531,0
E-Commerce|Fashion,11750000.0,USA,3,9,383,15948,16331,0
Enterprises|Music|Software|Web Development,25999968.0,USA,5,13,1774,13158,14932,1
Advertising|News|Photography|Search|Sports|Video|Web Development|Web Tools,9000000.0,USA,3,4,761,13392,14153,1
Mobile,12000000.0,USA,4,8,1476,12599,14075,1
Fitness,3240907.0,IRL,1,2,0,12145,12145,0
E-Commerce|Gambling|Mobile,2750000.0,USA,4,5,496,16071,16567,0
Curated Web|Gambling,16700000.0,USA,1,4,0,13910,13910,0
Clean Technology,17700000.0,USA,1,1,0,15817,15817,0
Software,1330000.0,USA,1,2,0,14768,14768,0
Clean Technology,10000000.0,CHN,1,1,0,14223,14223,0
Coupons|Curated Web|Lifestyle|Loyalty Programs|Online Shopping|Travel,38000.0,SGP,1,1,0,14730,14730,0
Fitness|Medical Devices,30000.0,USA,1,1,0,15361,15361,0
Advertising|Design|Sales and Marketing,200000.0,USA,1,1,0,14245,14245,0
Mobile,7540000.0,GBR,1,3,0,12899,12899,0
Consumer Goods|E-Commerce|Marketplaces,8000000.0,ARE,2,2,1401,15340,16741,0
E-Commerce,11364385.0,GBR,1,1,0,16157,16157,0
Health and Wellness,4412500.0,USA,4,1,420,16107,16527,1
Fitness|Gamification|Health and Wellness|Lifestyle|Software,1000000.0,HKG,1,1,0,16416,16416,0
Open Source|Portals|Software|Web CMS,22500000.0,CHE,1,1,0,16476,16476,0
Audio|Mobile|Telephony|VoIP,33000000.0,USA,4,4,1096,13208,14304,1
E-Commerce,75000000.0,USA,1,1,0,16160,16160,0
Automotive|Hospitality,2500.0,BGR,1,1,0,16183,16183,0
Semiconductors,11300000.0,USA,1,6,0,13193,13193,0
Software,33000000.0,USA,2,6,588,15936,16524,0
E-Commerce,430000.0,ARE,3,8,330,14948,15278,0
Music Services|Social Media,600000.0,USA,1,1,0,16252,16252,0
E-Commerce|Facebook Applications|Finance|Internet|Social Media|Virtual Currency|Virtual Goods,6000000.0,USA,2,5,381,14092,14473,1
Enterprise Software,4500000.0,USA,2,2,951,12233,13184,1
Curated Web,19000000.0,USA,3,10,1008,11382,12390,1
Software,30000000.0,USA,1,2,0,16048,16048,0
Music,3894581.0,USA,5,6,1305,14771,16076,0
Software,800000.0,USA,2,2,173,16288,16461,0
Games|Mobile|Music,2000000.0,USA,2,2,626,13970,14596,1
Musical Instruments|Music Services|Software,191082.0,DNK,1,2,0,15221,15221,0
Advertising|Analytics|Concerts|Events|Music|Ticketing,615000.0,USA,2,2,276,15480,15756,0
App Marketing|Apps|Facebook Applications|Games|Mobile|Mobile Advertising|Social Games|Video Games,7550000.0,GBR,2,7,1091,15400,16491,0
Software,800000.0,ISR,2,3,113,15706,15819,0
Health Care,3470147.0,USA,1,1,0,15142,15142,0
Mobile,36675008.0,USA,5,2,1890,14544,16434,0
Finance|FinTech,85000000.0,IND,2,2,727,15931,16658,0
Software,2300000.0,USA,1,2,0,13720,13720,0
Audio|Email|Messaging,9000000.0,USA,2,9,546,12784,13330,0
Identity Management|Social Media,52753793.0,USA,4,12,1134,14585,15719,0
Big Data|Career Management|Employment|Enterprise Software|Recruiting|SaaS|Semantic Web,6940000.0,CHE,9,33,2187,14400,16587,0
Software,463000.0,CHE,1,1,0,13943,13943,0
Emerging Markets|Enterprise Software|Mobile|Mobile Software Tools|SaaS|Technology|Translation,118000.0,USA,1,1,0,16388,16388,0
Real Estate,125700.0,USA,2,1,620,15622,16242,0
Hardware + Software,13630000.0,USA,3,9,3239,12192,15431,1
Cloud Computing|Internet of Things|M2M|Mobile|SaaS,205300000.0,USA,6,15,3241,12935,16176,0
Analytics|Business Intelligence|Open Source|Software|Web Development,43500000.0,USA,4,22,2186,12983,15169,1
Software,100210000.0,USA,4,28,636,16063,16699,0
Enterprises|Software,50000.0,USA,1,1,0,13422,13422,0
Consumer Electronics|Fitness|Hardware + Software|Mobile Software Tools|Personal Health|Wearables,818799995.0,USA,12,21,3058,13497,16555,0
Games|iOS|Real Time,3485000.0,USA,2,3,141,15400,15541,0
Mobile|VoIP,22500000.0,USA,4,10,556,13497,14053,1
Industrial Automation,250000.0,IND,1,2,0,16553,16553,0
E-Commerce|Marketplaces,375000.0,IND,1,2,0,15221,15221,0
Consumer Electronics|Distribution|Manufacturing|Mobile,2000000.0,SWE,1,1,0,13879,13879,1
Biotechnology|Health Care,376999998.0,USA,3,9,2084,12501,14585,1
Optical Communications|Semiconductors|Wireless,60000000.0,USA,1,1,0,11960,11960,0
Semiconductors,2030000.0,USA,2,2,194,13021,13215,1
Messaging,8000000.0,USA,1,2,0,14031,14031,0
Industrial|Manufacturing|Textiles,150000000.0,IND,1,1,0,16647,16647,0
Clean Technology,17604102.0,GBR,1,1,0,14127,14127,0
Developer Tools|Software,10000000.0,USA,1,2,0,12468,12468,1
Design|Interior Design,2500000.0,IND,2,2,114,16468,16582,0
Consumer Goods|E-Commerce|Internet|Online Shopping|Retail|Wholesale,446000000.0,CHN,5,4,872,13738,14610,1
Manufacturing,162866.0,CHN,1,1,0,15918,15918,0
Advertising|Internet Marketing,3301994.0,USA,5,9,1025,15737,16762,0
Analytics|Business Intelligence|Software,15911107.0,DEU,3,3,366,13879,14245,0
Information Technology|PaaS|Software|Web Hosting,8067000.0,USA,5,8,962,14956,15918,0
Brand Marketing|Messaging,21350000.0,USA,6,11,915,10803,11718,1
Advertising|Advertising Platforms|Broadcasting|Enterprise Software,37600000.0,USA,5,23,1993,14616,16609,0
Social Games,1500000.0,ISR,1,1,0,16010,16010,0
Advertising|Analytics,6600000.0,USA,1,4,0,14015,14015,0
Software,265297.0,KOR,2,2,426,15461,15887,0
Social Media,5000000.0,USA,1,2,0,13422,13422,1
Internet Marketing|Personalization|SaaS|Software,5000000.0,USA,1,1,0,13879,13879,0
Consumer Internet|Finance|FinTech|Investment Management|Wealth Management,15000000.0,USA,3,1,2102,13879,15981,0
Nanotechnology,907900.0,DEU,2,7,1003,15625,16628,0
Hardware + Software,112533998.0,DEU,4,25,1971,14683,16654,0
Biotechnology,46050006.0,USA,5,1,1343,14505,15848,0
Mobile,29000000.0,DEU,1,2,0,13685,13685,0
Beauty|Consumer Goods|Hardware + Software,4898097.0,USA,4,1,1212,14956,16168,0
Bio-Pharm|Pharmaceuticals|Technology,58131358.8640056,DEU,2,10,252,12577,12829,1
Digital Media|Software|Sports,372450.0,USA,2,1,546,16071,16617,0
E-Commerce|Online Shopping|Retail,570000000.0,USA,4,27,483,16280,16763,0
Online Travel|Travel,3788905.0,USA,3,2,1163,15495,16658,0
Travel,1700000.0,USA,3,4,490,16071,16561,0
Analytics|Big Data|Software,12600000.0,ISR,2,3,832,15763,16595,0
Big Data|E-Commerce|Email Marketing|Enterprise Software|Machine Learning|Marketing Automation|Reviews and Recommendations,7000000.0,USA,3,11,744,15886,16630,0
Marketplaces|Mobile Commerce|Transportation,400000.0,USA,1,1,0,16315,16315,0
Travel,2400000.0,USA,1,3,0,15533,15533,1
Finance|FinTech,10000000.0,USA,1,1,0,15989,15989,1
Aerospace|Startups|Transportation,26200000.0,USA,3,5,969,15670,16639,0
Finance|Incubators,3050000.0,SGP,2,16,903,15243,16146,0
Enterprise Software|Software|Web Development,11500000.0,ISR,3,3,2022,14245,16267,0
Environmental Innovation|Farming|Organic,938270.0,GBR,1,1,0,16038,16038,0
Clean Technology|Energy Efficiency|Waste Management,1212770.0,GBR,1,1,0,15792,15792,0
Biotechnology,80600000.0,CHN,2,4,326,16240,16566,0
Manufacturing,167988023.0,CHN,4,3,2982,13514,16496,0
Software,10000000.0,CHN,1,1,0,13422,13422,0
Semiconductors,82000000.0,CHN,1,4,0,13483,13483,1
Manufacturing,6386470.0,CHN,2,1,638,14031,14669,0
Social Media,162364.0,CHN,1,2,0,15765,15765,0
Employment|Enterprise Software|Networking|Recruiting|Search|Social Recruiting,40875000.0,USA,5,25,1520,14690,16210,0
Chat|File Sharing|Media|Mobile|Social Media,9100000.0,USA,2,1,2173,13514,15687,1
Games,17900000.0,USA,3,5,929,13322,14251,0
Artificial Intelligence|Robotics,38600000.0,USA,5,14,538,16226,16764,0
Health and Insurance|Health and Wellness|Internet|iPad|Medical|Mobile|Tablets|Wearables,50100000.0,USA,4,13,1632,14944,16576,0
Apps|Internet of Things|Mobile|Mobile Payments|Public Transportation|Sensors|Transportation,315700.0,EST,2,1,88,16467,16555,0
Analytics|B2B|Direct Sales|Event Management|Events|Meeting Software|Online Scheduling|Sales and Marketing|Sales Automation|Software,6000000.0,USA,2,4,985,15675,16660,0
E-Commerce|Gift Card|Registrars|Retail|Weddings,6800000.0,USA,3,6,794,15915,16709,0
Collaboration|SEO|Software,800000.0,GBR,1,1,0,13726,13726,0
Finance,163309.0,CHN,1,1,0,15979,15979,0
EdTech|Education,22000000.0,CHN,2,3,570,15765,16335,0
Android|Apps|Facebook Applications|iPhone|Mobile|Search|Social Media|Twitter Applications,650000.0,SRB,1,2,0,15187,15187,0
Curated Web|Infrastructure Builders|Internet|Web Development,27775617.0,USA,2,1,3080,13514,16594,0
Manufacturing,16343750.0,CHN,3,3,1430,13978,15408,0
Advertising|Mobile,88651133.0,USA,7,19,1549,13057,14606,1
Databases|Music|Search,900000.0,USA,1,3,0,14753,14753,0
Android|Big Data|Mobile|Sensors,733615.0,BEL,2,2,456,14975,15431,0
Clean Technology,23200000.0,CHN,2,4,123,14000,14123,0
Location Based Services|Logistics|Mobile,2290420.94228017,GBR,4,8,465,16272,16737,0
Ad Targeting|Personalization|Semantic Search|Video on Demand,7500000.0,ISR,3,4,1100,13879,14979,0
Real Estate,60000000.0,CHN,1,2,0,13549,13549,0
Health and Wellness,6300000.0,CAN,3,2,823,15663,16486,0
E-Commerce|Marketplaces|Social Media,148976.0,NLD,2,1,458,15156,15614,0
Analytics,7000000.0,USA,2,5,554,14963,15517,0
Clean Technology,3840300.0,FRA,1,1,0,14865,14865,0
VoIP,20190000.0,USA,1,1,0,16160,16160,0
Social Media|Software|Technology|Web Development|Web Tools,69426794.0,USA,5,5,2102,13726,15828,1
Advertising|Marketing Automation|Media|Mobile Advertising|Web Development,27400000.0,USA,5,11,2157,13948,16105,0
Automotive|Electric Vehicles|Public Transportation,290956.0,GBR,1,1,0,16006,16006,0
Concerts|Entertainment|Mobile|Music|Software,800000.0,KOR,1,1,0,15675,15675,0
Mobile,164744.0,CHN,1,1,0,16071,16071,0
Manufacturing,9700000.0,USA,1,1,0,15184,15184,0
Mobile,7500000.0,USA,2,3,969,13906,14875,0
Apps|Software,7750000.0,NLD,1,1,0,14544,14544,1
Social Network Media,641736.0,CHN,1,1,0,15309,15309,0
Curated Web|Human Resources|Marketplaces|Mobile|Recruiting,11300000.0,USA,3,8,573,15645,16218,0
Career Management|Employment|Facebook Applications|Networking|Social Media,43731330.0,ESP,5,13,2337,14245,16582,0
Enterprise Software,4000000.0,USA,2,2,1911,13817,15728,0
Marketplaces,902241.024259245,EST,2,16,306,16373,16679,0
Employment|Human Resources|Recruiting|Search,2814814.0,IRL,2,6,209,16491,16700,0
Curated Web|Human Resources|Services,40000.0,BRA,2,2,756,15176,15932,0
Analytics|Human Resources,300000.0,USA,1,3,0,16444,16444,0
Search,5000000.0,USA,1,3,0,12416,12416,1
Curated Web,42000000.0,USA,4,7,1728,12874,14602,1
Curated Web|Human Resources|Recruiting|Software,2902275.0,USA,7,1,487,15948,16435,0
Classifieds|Employment|Recruiting|Search,1342546.0,FRA,1,1,0,14698,14698,0
Consulting|Recruiting,643300.0,ITA,1,1,0,16167,16167,0
Career Management|Employment|Human Resources|Marketplaces|Recruiting|Search,300000.0,RUS,1,1,0,15706,15706,0
Software,28762500.0,GBR,3,3,3013,10957,13970,1
Employment,10200000.0,KOR,2,3,214,16228,16442,0
Apps|Employment,2000000.0,USA,2,14,362,16268,16630,0
Employment|Human Resources|Portals|Services,1535000.0,USA,3,24,390,16191,16581,0
Consulting,795507.0,GBR,1,1,0,15974,15974,0
Curated Web,5550000.0,USA,2,2,751,12418,13169,1
Collaboration|Construction|Mobile|SaaS,50000.0,USA,1,1,0,16495,16495,0
Software,262000.0,IND,1,5,0,16680,16680,0
Search,52500000.0,USA,4,13,1210,12784,13994,1
Analytics,2015000.0,USA,2,3,608,15293,15901,0
Internet,3474132.0,FRA,1,1,0,16456,16456,0
Human Resources|Internet|Recruiting,4550000.0,CHN,1,1,0,16352,16352,0
Human Resources|Recruiting|Social Media|Software,55450000.0,USA,4,10,2502,13848,16350,0
Marketplaces|Recruiting|Search,40000.0,CHL,1,1,0,15775,15775,0
Human Resources|Portals|Real Time,224482.0,CHE,1,1,0,16071,16071,0
All Students|Career Management|College Campuses|Colleges|Employment|Human Resources,30000.0,USA,2,1,638,14123,14761,0
Curated Web,1200000.0,USA,1,4,0,14361,14361,0
Social Media|Video|Video Processing,120000.0,USA,1,1,0,16251,16251,0
Hospitality,30000000.0,USA,1,3,0,15917,15917,0
Trading,41250.0,HKG,1,1,0,16071,16071,0
Sports,142268.0,BGR,4,3,334,16071,16405,0
Enterprise Software|Social Network Media,746013.0,BRA,5,6,518,15522,16040,0
Communities|Information Technology|Social Media,270862.0,ESP,1,1,0,16233,16233,0
Social Media,15000.0,USA,1,1,0,16289,16289,0
E-Commerce,98104.0,PER,2,3,335,15979,16314,0
Automotive|E-Commerce|Mobile|Technology,494769311.915804,ESP,2,4,851,15905,16756,0
Internet|Location Based Services|Parking|Software,65000.0,CHL,2,1,413,15566,15979,0
Cloud Computing|Enterprise Software|Web Development|Web Tools,4200000.0,FRA,1,2,0,14433,14433,0
Lifestyle|Limousines|Mobile|Software|Transportation|Travel,75000.0,USA,3,1,1349,15340,16689,0
Beauty|Discounts|E-Commerce|Internet,1428500.0,GBR,1,1,0,15218,15218,1
Education|Internet|Training,51704.0,GBR,1,1,0,15857,15857,0
Automotive|Internet|Marketplaces,3200000.0,USA,1,1,0,13825,13825,0
Manufacturing,35000000.0,USA,1,1,0,12363,12363,0
Android|Apps|iPhone|Messaging|Mobile,7660498.0,FIN,3,8,770,15603,16373,0
Startups|Travel,80000.0,HUN,1,1,0,14245,14245,1
Curated Web|Gift Card|Kids|Parenting,100000.0,IND,1,1,0,15706,15706,0
E-Commerce,500000.0,SGP,1,1,0,15778,15778,0
Browser Extensions|Search,100000.0,ISR,1,1,0,14179,14179,0
E-Commerce,575001.0,USA,2,1,113,14518,14631,0
Maps|Social Media|Social Network Media,300000.0,BRA,2,1,61,15645,15706,0
Software,15000.0,USA,1,1,0,16289,16289,0
Advertising|App Marketing|Facebook Applications|Mobile|Small and Medium Businesses|Social Media,20323.0,NLD,1,1,0,15991,15991,0
Fashion,20071510.0,USA,3,19,737,15174,15911,0
Games|Television|Video,45000000.0,USA,1,5,0,13642,13642,1
Advertising|Social Media|Social Network Media|Web Tools,700000.0,MYS,1,1,0,15960,15960,0
Artists Globally|Event Management|Gamification|Mobile|Music|Music Venues,325000.0,USA,2,3,409,16334,16743,0
Professional Services|Recruiting|Services,1000000.0,USA,1,2,0,16495,16495,0
Hardware + Software,11000000.0,ISR,1,1,0,13803,13803,1
Internet of Things|Software,134935.0,FRA,1,2,0,15248,15248,0
Health and Wellness,10800000.0,USA,1,1,0,15364,15364,0
Media|Social Media,500000.0,IDN,1,1,0,15646,15646,0
Software,5200000.0,USA,1,2,0,12631,12631,1
Messaging,6400000.0,USA,2,6,151,13493,13644,1
Messaging,1200000.0,USA,1,5,0,16595,16595,0
Advertising Platforms|Artificial Intelligence|Big Data|Big Data Analytics|Content|Interest Graph|Internet|Machine Learning|Natural Language Processing|News,1210000.0,USA,2,2,0,16612,16612,0
Cloud Data Services|Optimization|Professional Services|SaaS,30000.0,ITA,1,1,0,15492,15492,0
Clean Technology,190000000.0,USA,4,2,1840,14726,16566,0
Consumer Electronics|Consumer Goods|Gadget|Hardware,50000.0,CAN,1,1,0,16375,16375,0
Enterprise Software,18700000.0,USA,2,7,435,14700,15135,1
Biotechnology,103000000.0,USA,2,9,798,15750,16548,0
Travel & Tourism,25000.0,USA,1,1,0,16107,16107,0
Biotechnology,3906450.0,USA,4,2,553,16203,16756,0
Curated Web|Travel|Virtual Worlds,600000.0,ISR,1,1,0,13634,13634,0
Apps|Kids|Video,500000.0,ISR,1,4,0,16313,16313,0
News,20000000.0,CHN,2,2,700,12965,13665,0
Education|Technology|Video Games,799686.0,BRA,1,2,0,16617,16617,0
iPhone,5000000.0,USA,1,3,0,16534,16534,0
Health Care,10100000.0,USA,2,5,245,16512,16757,0
Organic,1000000.0,IND,1,2,0,16637,16637,0
Apps,2400000.0,JPN,1,1,0,16576,16576,0
Apps|Automotive|Cloud Computing|Enterprise Software|Facebook Applications|Infrastructure|Open Source|Software|Web Hosting,130999998.0,USA,8,17,3590,12784,16374,0
E-Commerce,137614.0,TUR,2,2,270,15848,16118,0
Games,15000000.0,TUR,1,1,0,15828,15828,0
Entertainment|Events|Lifestyle|Mobile|Reviews and Recommendations|Sales and Marketing,40000.0,USA,1,4,0,15501,15501,0
Games|Mobile Games,11000000.0,CHN,2,2,854,15248,16102,0
Audio|Automotive|Cars|Entertainment|Games|Mobile,1000000.0,USA,1,3,0,15789,15789,0
Mobile,18000000.0,CHN,1,1,0,16772,16772,0
Sports,32472.0,CHN,2,1,151,15614,15765,0
Games|Mobile Games|Startups|Video Games,25000.0,USA,1,2,0,15126,15126,0
Audio|EdTech|Education|Games|Music|SaaS,7000000.0,ISR,3,13,954,15340,16294,0
E-Commerce,43400000.0,USA,3,14,1403,15187,16590,0
Mobile,16000000.0,CHN,1,1,0,13321,13321,0
Social Media,10000000.0,CHN,1,1,0,15218,15218,0
Finance|FinTech|Social Media,15000.0,USA,1,1,0,13726,13726,0
Energy Efficiency,17000.0,USA,1,1,0,16191,16191,0
Analytics|Law Enforcement|Legal|SaaS|Technology,7800000.0,USA,2,8,168,15685,15853,0
Mobile|Mobile Payments,14341792.0,GBR,2,1,535,15901,16436,0
Curated Web|Databases|Internet|Search,10500000.0,USA,2,3,488,12600,13088,0
EdTech|Education,1000000.0,CHN,2,1,481,16040,16521,0
Apps|Social Business|Software,8000000.0,IND,2,3,165,16591,16756,0
Apps|Entertainment|Games,195780.0,ESP,1,4,0,15809,15809,0
Curated Web|Parenting,6000000.0,USA,1,1,0,15127,15127,0
Games,2500000.0,USA,1,6,0,16281,16281,0
Mobile|Social Network Media,15300000.0,USA,5,9,974,12874,13848,0
Consumer Electronics|E-Commerce,20000.0,USA,1,1,0,16163,16163,0
E-Commerce,110000.0,USA,2,2,21,15685,15706,0
Entertainment|Games|Music|Video,829990.0,GBR,1,2,0,16314,16314,0
Concerts|iPhone|Music|Music Services,11300000.0,USA,4,27,657,15896,16553,0
Digital Entertainment|Digital Media|TV Production,5900000.0,USA,5,7,455,16174,16629,0
Beauty|Cosmetics|E-Commerce|Retail,62635285.5798046,USA,6,18,3243,13514,16757,0
Advertising|Android|iPhone|Mobile,39674923.0,USA,5,6,4239,11925,16164,0
E-Commerce,10000000.0,CHN,3,3,853,14518,15371,1
E-Commerce,211000000.0,EGY,3,2,630,15770,16400,0
Software,36713881.0,USA,5,6,1287,14874,16161,0
Charity|Humanitarian|Social Media|Social Network Media,3500000.0,USA,2,2,1836,14914,16750,0
E-Commerce,5000000.0,AUS,1,1,0,14930,14930,1
Design|Entertainment|Games|Startups,20265.0,EST,1,1,0,16102,16102,0
Mobile,3025000.0,USA,3,14,1026,14975,16001,0
Photography,2700000.0,USA,1,2,0,15974,15974,0
Educational Games,257320.0,BGR,1,1,0,15869,15869,0
All Students|Communities|Education,110000.0,USA,1,1,0,15522,15522,0
Big Data Analytics|Business Analytics,22000000.0,USA,1,1,0,16568,16568,1
Advertising|Internet|Market Research,22000000.0,USA,1,1,0,16582,16582,0
Education,13000000.0,USA,1,1,0,16163,16163,0
Software,1700000.0,SWE,1,3,0,15952,15952,0
Advertising|Mobile,121500000.0,USA,7,27,2680,12843,15523,1
Advertising|Brand Marketing|Distribution|Facebook Applications|Media|Mobile|Video|Video Streaming,33000000.0,USA,3,5,1326,15320,16646,0
Big Data|Enterprise Software,1240000.0,USA,3,5,946,14907,15853,0
Software,7500000.0,USA,1,1,0,13528,13528,0
Electronics,7000000.0,USA,1,4,0,16595,16595,0
E-Commerce|Online Shopping,1500000.0,USA,1,1,0,14904,14904,0
Distribution|Information Services|Media,5500000.0,ISR,1,3,0,12304,12304,1
Health Care,7500000.0,USA,1,2,0,13222,13222,0
Art|Curated Web|E-Commerce|Fashion|Home Decor,3184934.0,DEU,3,7,294,16111,16405,0
Biotechnology|Health and Wellness|Health Care,1159803496.0,USA,4,6,588,16042,16630,1
E-Commerce,40000.0,CHL,1,1,0,15440,15440,0
Entertainment Industry|Kids|Parenting,50223.0,ESP,1,1,0,15584,15584,0
FinTech|Software,4699397.0,USA,2,1,390,15882,16272,0
Internet,33043.0,DEU,2,2,334,15949,16283,0
Analytics|Big Data|Legal,1817000.0,USA,6,11,556,15884,16440,0
B2B|Small and Medium Businesses,50000.0,AUS,1,1,0,16449,16449,0
Biotechnology|Consumer Goods|Diabetes|Health and Wellness,100000.0,CHE,1,1,0,16650,16650,0
Mobile|Mobile Payments,6307600.0,ITA,3,4,393,15400,15793,0
E-Commerce|Home & Garden|Toys,1065500.0,USA,3,1,690,14568,15258,0
Biotechnology,15000000.0,USA,1,3,0,16699,16699,0
Local Search|Search,67000000.0,IND,2,4,387,15131,15518,0
Discounts|E-Commerce,88988375.8410255,GBR,4,9,1445,14439,15884,1
Advice|All Markets|Curated Web|Customer Service|Q&A|Social Commerce,50700000.0,USA,2,5,111,15510,15621,0
E-Commerce|Fashion|Lifestyle|Online Shopping|Retail|Shoes,254000000.0,USA,6,17,1072,15238,16310,0
Mobile,5795661.0,USA,3,1,763,15589,16352,0
Music,1700000.0,GBR,1,2,0,16051,16051,0
Chat|Games|Video,8000000.0,USA,3,4,214,13573,13787,0
Finance,1136438.0,GBR,1,4,0,16027,16027,0
Mobile|Mobile Advertising|Social Media Platforms|Social Network Media,4325000.0,USA,6,14,1160,14975,16135,0
Analytics|Big Data,4150000.0,USA,5,8,1433,15002,16435,0
Cars,3000000.0,IND,2,7,115,16651,16766,0
Machine Learning|Product Development Services,14800000.0,USA,1,1,0,16121,16121,1
Search|Twitter Applications,765000.0,DNK,2,6,485,14061,14546,1
Human Resources,20000000.0,USA,3,7,580,15994,16574,0
Analytics|Big Data|Enterprise Application|Enterprise Software,20000000.0,USA,1,3,0,16016,16016,0
Biotechnology,63130000.0,USA,5,5,1390,13518,14908,0
Biotechnology,41000000.0,USA,4,11,2415,14152,16567,0
Android|Apps|iOS|Messaging|Mobile|Social Media,1700000.0,USA,2,7,1315,15279,16594,0
E-Commerce|Retail Technology,100000000.0,CHN,1,3,0,16464,16464,0
Advertising|Software|Video|Video Streaming|Web Development,25600000.0,USA,3,6,2238,14092,16330,0
Enterprise Software|Industrial Automation|Internet of Things,35000.0,USA,1,1,0,16327,16327,0
Recruiting,28000.0,USA,1,1,0,15522,15522,0
EdTech|Education,15000000.0,IND,2,4,785,14860,15645,0
Software,2684000.0,USA,2,1,3577,13080,16657,0
Games,6600000.0,USA,1,1,0,15251,15251,0
Education,20000000.0,USA,1,1,0,12145,12145,1
